id,station_name,lon,lat
110,Harvard University Gund Hall at Quincy St / Kirkland S,-71.114025,42.376369
111,Packard Ave at Powderhouse Blvd,-71.123413,42.40449
112,Clarendon Hill at Broadway,-71.132446,42.406302
113,Andrew T Stop - Dorchester Ave at Dexter St,-71.05701685,42.33047365
114,Teele Square,-71.12653291,42.40203828
115,Porter Square Station,-71.119084,42.387995
116,359 Broadway - Broadway at Fayette Street,-71.104412,42.370803
117,Binney St / Sixth St,-71.08688294,42.36616223
118,Linear Park - Mass. Ave. at Cameron Ave.,-71.130516,42.397828
119,South Boston Library - 646 E Broadway,-71.03877,42.335741
120,Beacon St at Charles St,-71.069849,42.356052
121,W Broadway at Dorchester St,-71.045859,42.335693
122,Burlington Ave at Brookline Ave,-71.100694,42.345733
124,Curtis Hall - South St at Centre St,-71.11543,42.309054
125,Hyde Square - Barbara St at Centre St,-71.10984161,42.32176526
126,Egleston Square - Atherton St at Washington St,-71.098634,42.315692
128,E Cottage St at Columbia Rd,-71.06198,42.320561
129,Hayes Square - Vine St at Moulton St,-71.056605,42.377022
130,Upham's Corner,-71.06537004,42.31727474
131,Jackson Square T Stop,-71.10014141,42.32293117
133,Green Street T Stop - Green St at Amory St,-71.107341,42.310579
134,Boylston St at Dartmouth St,-71.07655,42.350413
135,ID Building East,-71.028664,42.344827
136,ID Building West,-71.031614,42.344796
137,Magoun Square at Trum Field,-71.107818,42.398365
138,Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,-71.066498,42.326599
139,Dana Park,-71.10809952,42.36178044
140,Danehy Park,-71.132788,42.388966
141,Kendall Street,-71.08216792,42.36356016
142,Alewife Station at Russell Field,-71.139459,42.396105
143,EF - North Point Park,-71.069957,42.369885
144,Rogers St & Land Blvd,-71.07699394,42.36575798
145,Rindge Avenue - O'Neill Library,-71.129042,42.392766
146,Murphy Skating Rink - 1880 Day Blvd,-71.023739,42.336448
149,175 N Harvard St,-71.129164,42.363796
150,State Street at Channel Center,-71.052608,42.344137
151,Surface Rd at India St,-71.052163,42.358155
152,Ink Block - Harrison Ave at Herald St,-71.063187,42.345901
156,Somerville Hospital,-71.1096257,42.39088802
157,Seaport Blvd at Sleeper St,-71.04817357,42.35317809
159,S Huntington Ave at Heath St,-71.1108917,42.32760387
160,Wentworth Institute of Technology - Huntington Ave at Vancouver St,-71.09627098,42.33758601
161,W Broadway at D St,-71.0514432,42.3391085
162,Franklin Park - Seaver St at Humbolt Ave,-71.092225,42.309796
163,The Lawn on D,-71.044024,42.344792
167,Ryan Playground - Dorchester Ave at Harbor View St,-71.056664,42.317642
169,Edwards Playground - Main St at Eden St,-71.068607,42.378965
170,Franklin Park Zoo - Franklin Park Rd at Blue Hill Ave,-71.085347,42.303469
171,Bunker Hill Community College,-71.06905997,42.37408991
173,Savin Hill T Stop - S Sydney St at Bay St,-71.0539,42.3106
174,Washington St at Brock St,-71.16031677,42.34895285
175,Brighton Center - Washington St at Cambridge St,-71.15027189,42.34894857
176,Lesley University,-71.11901879,42.38674802
177,University Park,-71.10006094,42.36264779
178,MIT Pacific St at Purrington St,-71.10129476,42.3595732
179,MIT Vassar St,-71.10394478,42.35560121
180,Mt Auburn,-71.13320231,42.37478629
181,Huron Ave At Vassal Lane,-71.13426981,42.38165061
182,Museum of Science,-71.07116282,42.36769018
183,Alewife MBTA at Steel Place,-71.14260614,42.39558846
184,Sidney Research Campus/ Erie Street at Waverly,-71.10393405,42.35775309
185,Third at Binney,-71.08277142,42.36544486
186,Congress St at Northern Ave,-71.03764,42.3481
187,Cypress St at Clark Playground,-71.12536222,42.32784317
188,Foss Park,-71.09039426,42.39108438
189,Kendall T,-71.08495474,42.36242784
190,Nashua Street at Red Auerbach Way,-71.064263,42.365673
191,Tappan St at Brookline Hills MBTA,-71.12845883,42.33209606
192,Purchase St at Pearl St,-71.053181,42.354659
193,Brookline Town Hall,-71.12046447,42.33376473
194,Broadway St at Mt Pleasant St,-71.0782814,42.38614141
195,Child St at North St,-71.07249312,42.37150494
196,Roxbury YMCA - Warren St at MLK Blvd,-71.08243078,42.31787329
197,MLK Blvd at Washington St,-71.09126061,42.32143814
199,Upham's Corner T Stop - Magnolia St at Dudley St,-71.06978148,42.31869734
200,Washington St at Melnea Cass Blvd,-71.081198,42.332817
201,NCAAA - Walnut Ave at Crawford St,-71.091946,42.316902
202,Grove Hall Library - 41 Geneva Ave,-71.080952,42.30791
203,Columbia Rd at Ceylon St,-71.0729,42.309572
204,Walnut Ave at Warren St,-71.083235,42.324081
205,Bowdoin St at Quincy St,-71.06512249,42.30785224
206,Government Center - Cambridge St at Court St,-71.05960783,42.35980252
208,Oak Square - 615 Washington St,-71.166491,42.35057
209,Chelsea St at Saratoga St,-71.027448,42.379772
210,Bennington St at Byron St,-71.01619095,42.38353252
211,Piers Park,-71.03497177,42.36489293
212,Maverick Square - Lewis Mall,-71.03977829,42.36884408
213,East Boston Neighborhood Health Center - 20 Maverick Square,-71.039431,42.369536
214,Airport T Stop - Bremen St at Brooks St,-71.03277501,42.37411262
215,The Eddy - New St at Sumner St,-71.044201,42.370744
216,Glendon St at Condor St,-71.03024304,42.38240378
217,Orient Heights T Stop - Bennington St at Saratoga St,-71.006098,42.386781
218,Watermark Seaport - Boston Wharf Rd at Seaport Blvd,-71.04569256,42.351586
219,Boston East - 126 Border St,-71.04102008,42.37331213
221,Verizon Innovation Hub 10 Ware Street,-71.11305356,42.37250865
222,Troy Boston,-71.062256,42.343749
224,Fresh Pond Reservation,-71.14347895,42.38267828
225,Cambridge Dept. of Public Works -147 Hampshire St.,-71.09759867,42.37119728
226,Commonwealth Ave At Babcock St,-71.12126246,42.35154735
227,Silber Way,-71.10057592,42.349496
228,One Memorial Drive,-71.08043551,42.36161932
232,Four Corners - 157 Washington St,-71.07929528,42.30412793
233,St Mary's,-71.10728681,42.34619708
234,Broadway at Central St,-71.09850592,42.3951715
235,East Somerville Library (Broadway and Illinois),-71.08318716,42.38762811
236,Assembly Square T,-71.07746601,42.39223284
239,Community Path at Cedar Street,-71.11133695,42.39407224
255,Park St at Norwell St,-71.0783056,42.2944167
258,Gallivan Blvd at Adams St,-71.05466698,42.28297568
259,Washington St at Bradlee St,-71.07271846,42.29791808
260,Fields Corner T Stop,-71.0605833,42.2996667
271,Ashmont T Stop,-71.0641389,42.2856944
272,Shawmut T Stop,-71.06575,42.292917
273,Forest Hills,-71.114249,42.300923
279,Williams St at Washington St,-71.107669,42.306539
280,Main St at Baldwin St,-71.070629,42.380857
282,Stony Brook T Stop,-71.104374,42.316966
296,Farragut Rd at E. 6th St,-71.02495,42.3334
308,BCBS Hingham,-70.90555783,42.16722556
317,BCBS Quincy,-71.03924982,42.27600499
318,Ames St at Broadway,-71.0875672,42.3636929
319,84 Cambridgepark Dr,-71.143941,42.3936
327,Main St at Thompson Sq,-71.06383499,42.37487847
328,Grove St at Community Path,-71.12011306,42.39638681
329,Washington St at Myrtle St,-71.08377589,42.38169983
330,30 Dane St.,-71.10402523,42.38100143
331,Huntington Ave at Mass Art,-71.09886996,42.33658555
332,Harvard Ave at Brainerd Rd,-71.13022771,42.34953017
333,699 Mt Auburn St,-71.14871614,42.37500235
334,Mass Ave at Hadley/Walden,-71.12260755,42.39120972
335,Harvard St at Greene-Rose Heritage Park,-71.09522222,42.36599433
336,Mattapan T Stop,-71.093641,42.267902
337,Roslindale Village - South St,-71.127754,42.287072
338,Commonwealth Ave at Kelton St,-71.13997217,42.34835863
339,Archdale Rd at Washington St,-71.12119539,42.29266593
340,Blue Hill Ave at Almont St,-71.09372552,42.27462067
341,Roslindale Village - Washington St,-71.12820532,42.28630716
342,Boylston St at Jersey St,-71.09732501,42.34465063
343,Morton St T,-71.08617242,42.28072514
344,Commonwealth Ave at Chiswick Rd,-71.15168806,42.34024645
345,Park Plaza at Charles St,-71.06781138,42.35182807
346,Cleveland Circle,-71.1506152,42.33554308
347,Thetford Ave at Norfolk St,-71.07942931,42.28621295
348,Talbot Ave At Blue Hill Ave,-71.087111,42.2945833
349,Washington St at Talbot Ave,-71.071806,42.290333
350,Codman Square Library,-71.071111,42.2873611
351,Faneuil St at Arlington St,-71.15988486,42.35276621
352,Ring Rd,-71.08044855,42.34827839
353,Mattapan Library,-71.09325,42.2773889
354,Washington St at Egremont Rd,-71.14127841,42.34286835
355,Bennington St at Constitution Beach,-71.01063069,42.38522394
356,Charlestown Navy Yard,-71.054812,42.37412455
357,Centre St at Seaverns Ave,-71.1142981,42.3121203
358,Medford St at Charlestown BCYF,-71.06055722,42.38042947
359,One Brigham Circle,-71.10446509,42.3339227
360,Bartlett St at John Elliot Sq,-71.0901582,42.3294633
361,Deerfield St at Commonwealth Ave,-71.0972821,42.34924377
362,Columbia Rd at Tierney Community Center,-71.05060093,42.33023071
363,Harrison Ave at Mullins Way,-71.06384031,42.34521562
364,Tremont St at Northampton St,-71.08149976,42.3388956
365,Harrison Ave at Bennet St,-71.0620996,42.3494261
366,Broadway T Stop,-71.05747275,42.34278116
367,Vassal Lane at Tobin/VLUS,-71.13961272,42.38393225
368,Blue Hill Ave at Southwood St,-71.07798629,42.31786021
369,Boston Public Market,-71.05737358,42.36254854
370,Dartmouth St at Newbury St,-71.07782811,42.35096144
371,700 Huron Ave,-71.15412891,42.38078817
372,Boylston St at Exeter St,-71.07946779,42.34958942
373,Belgrade Ave at Walworth St,-71.1367213,42.28634589
374,Tremont St at Hamilton Place,-71.06166646,42.35668335
376,Honan Library,-71.12852452,42.3602737
377,Perry Park,-71.10341903,42.37927325
378,191 Beacon St,-71.10878613,42.38032335
379,Tremont St at W. Dedham St,-71.07421449,42.34254914
380,Mass Ave at Albany St,-71.09670274,42.36135838
381,Inman Square at Springfield St.,-71.10015746,42.37438409
384,Clarendon St at Commonwealth Ave,-71.07600417,42.35219035
385,Albany St at E. Brookline St,-71.0689446,42.33664795
386,Sennott Park  Broadway at Norfolk Street,-71.09930186,42.36860524
387,Norman St at Kelvin St,-71.06708851,42.40581172
388,Main Street at Carter Street,-71.0613,42.40413
389,Everett Square (Broadway at Chelsea St),-71.05546381,42.40725945
390,Broadway at Lynde St,-71.0654676,42.39648358
391,Encore,-71.0724476,42.39329263
392,Glendale Square (Ferry St at Broadway),-71.0477256,42.41480161
393,Ferry St at Pleasantview Ave,-71.04597684,42.40914878
394,Broadway at Maple St,-71.05260458,42.41034691
395,Chelsea St at Vine St,-71.0476264,42.40328057
396,Main St at Beacon St,-71.06266823,42.41072714
397,Broadway at Beacham St,-71.06373843,42.3983606
398,75 Binney St,-71.0801376,42.36550729
399,Shawmut at Tremont St,-71.06559185,42.34854543
400,Big Papi Station,-71.10016808,42.34734473
401,High St at Cypress St,-71.12177596,42.32538436
402,Washington St at Griggs Rd,-71.1305093,42.33833424
403,Marion St at Harvard St,-71.1213335,42.33978053
404,Mass Ave T Station,-71.08336953,42.34135616
405,Sydney St at Carson St,-71.05355408,42.32039374
406,Somerville City Hall Annex,-71.09745376,42.39189812
407,Craigie at Summer St,-71.1107146,42.38828873
408,Edgerly Education Center,-71.08675248,42.3875797
409,Elm St at White St,-71.1169414,42.38952436
410,Adams St at Lonsdale St,-71.05726346,42.29167943
411,Dorchester Ave at King St,-71.0625918,42.29175622
412,Washington St at Peters Park,-71.0668873,42.34303291
413,Kennedy-Longfellow School 158 Spring St,-71.08579015,42.36955298
414,Discovery Park - 30 Acorn Park Drive,-71.14797131,42.39790817
415,Stuart St at Berkeley St,-71.07242074,42.34954403
416,Blossom St at Charles St,-71.06959369,42.36435589
417,Columbus Ave at W. Canton St,-71.07648162,42.34474225
419,Central Square East Boston,-71.03918549,42.37544913
420,Charles St at Pinckney St,-71.07079532,42.3587253
421,Northbourne Rd at Hyde Park Ave,-71.11773666,42.29118035
422,Cummins at American Legion,-71.11687703,42.27881158
423,Mt. Hope St at Hyde Park Ave,-71.11874517,42.28484472
424,Jamaica St at South St,-71.11570891,42.30604563
425,The Dimock Center,-71.09639924,42.31930943
426,Surface Rd at Summer St,-71.05656401,42.3529457
427,Washington St at Denton Terr,-71.13423757,42.28072815
428,Western Ave at Richardson St,-71.14393111,42.36178741
430,Washington St at Walsh Playground,-71.06955614,42.2771947
431,Washington St at Fuller St,-71.07147925,42.28198628
432,Centre St at W. Roxbury Post Office,-71.15344755,42.28633199
433,Centre St at Parkway YMCA,-71.15728851,42.28277901
434,Spring St at Powell St,-71.16341468,42.27748444
435,Central Ave at River St,-71.07337901,42.27094707
436,Maverick St at Massport Path,-71.03335975,42.36774122
437,Berkshire Street at Cambridge Street,-71.08995434,42.37207658
438,Mobile Temporary Station,-71.10160055,42.35967536
440,Boston Landing,-71.14167538,42.35656092
441,Sullivan Square,-71.07514855,42.38445226
442,Hyde Park Ave at Walk Hill St,-71.116012,42.29606705
443,Whittier St Health Center,-71.09218862,42.33286288
445,Geiger Gibson Community Health Center,-71.04536798,42.31886468
446,700 Commonwealth Ave.,-71.10391524,42.34960945
